#1=α 2=ϕ 3=q0 4=qh0 
1.5 -1.0191346116867592 0.76 3.1666666666396353
1.5 -1.0136044744473336 0.77 3.347826086917103
1.5 -1.007791972631274 0.78 3.545454545396489
1.5 -1.0016672795581363 0.79 3.761904761818421
1.5 -0.9951959858472639 0.8 3.9999999998681868
1.5 -0.9883377884291059 0.81 4.263157894532024
1.5 -0.9810452695661736 0.82 4.55555555522911
1.5 -0.973262487598141 0.83 4.882352940642231
1.5 -0.9649223527475295 0.84 5.249999999104885
1.5 -0.9559438924761613 0.85 5.666666665113521
1.5 -0.9462282268451387 0.86 6.14285714007016
1.5 -0.935652953077864 0.87 6.692307687098806
1.5 -0.9240645837763402 0.88 7.333333323122758
1.5 -0.911266675203368 0.89 8.090909069781087
1.5 -0.8970034910447813 0.9 8.999999953409038
1.5 -0.8809338424792343 0.91 10.111110999966739
1.5 -0.8625889838827001 0.92 11.499999709670456
1.5 -0.8413022721244997 0.93 13.285713433798554
1.5 -0.8160825787677449 0.94 15.66666666666516
1.5 -0.7853682352841962 0.95 18.99999999999551
1.5 -0.7853682352841944 0.95 18.999999999992617
1.5 -0.7819064809797165 0.951 19.408160002573158
1.5 -0.7783613222099093 0.952 19.83332971715409
1.5 -0.774729335752594 0.953 20.276591734749495
1.5 -0.7710062597146845 0.954 20.739125980437883
1.5 -0.7671880149788018 0.955 21.222222222222875
1.5 -0.7632699406216155 0.956 21.72727272727332
1.5 -0.7592473018798146 0.957 22.25581395348681
