1:α 2:λ 3:ρ_r 4:E_r 5:E_l0 6:ρ_l 7:E_l
2.925 0.05006561206562252 0.9872081775548471 0.024712917445917085 -1 1 -1
2.925 0.05757545387546589 0.9853251626282602 0.02836576631819926 -1 1 -1
2.925 0.06621177195678576 0.9831709215295515 0.03254949287840005 -1 1 -1
2.925 0.07614353775030362 0.9807082367068531 0.03733842910476446 -1 1 -1
2.925 0.08756506841284915 0.9778953501410166 0.0428164466078712 -1 1 -1
2.925 0.10069982867477653 0.9746855807325585 0.04907791660068418 -1 1 -1
2.925 0.11580480297599301 0.9710269650447616 0.056228684870970345 -1 1 -1
2.925 0.13317552342239194 0.9668619396227159 0.06438703279761848 -1 1 -1
2.925 0.15315185193575073 0.9621270951963627 0.07368458545309008 -1 1 -1
2.925 0.1761246297261133 0.9567530323698827 0.08426711618421566 -1 1 -1
2.925 0.2025433241850303 0.9506643630690834 0.09629518397879633 -1 1 -1
2.925 0.23292482281278482 0.94377989932208 0.109944525886049 -1 1 -1
2.925 0.26786354623470254 0.9360130865702982 0.12540611258984774 -1 1 -1
2.925 0.3080430781699079 0.9272727323108252 0.1428857621754435 -1 1 -1
2.925 0.35424953989539404 0.917464087441124 0.16260319687662042 -1 1 -1
2.925 0.4073869708797031 0.9064903344204802 0.18479042226570866 -1 1 -1
2.925 0.46849501651165854 0.8942545191808344 0.2096893103943293 -1 1 -1
2.925 0.5387692689884073 0.880661952900599 0.2375482803316884 -1 1 -1
2.925 0.6195846593366683 0.8656230864641068 0.2686179936250256 -1 1 -1
2.925 0.7125223582371686 0.8490568186081096 0.30314601992455176 -1 1 -1
2.925 0.8194007119727437 0.830894168427645 0.3413704796252152 -1 1 -1
2.925 0.9423108187686552 0.8110822025736678 0.38351273444970657 -1 1 -1
2.925 1.0836574415839535 0.789588052038632 0.42976927009420185 -1 1 -1
2.9 0.001 0.9997369309370437 0.0004998684682709256 -1 1 -1
2.9 0.00115 0.9996974858937024 0.0005748260586506827 -1 1 -1
2.9 0.0013224999999999999 0.9996521290305302 0.0006610199768024539 -1 1 -1
2.9 0.0015208749999999999 0.9995999751629241 0.0007601333159702397 -1 1 -1
2.9 0.0017490062499999994 0.9995400068471981 0.0008741008745404885 -1 1 -1
2.9 0.0020113571874999995 0.9994710546940653 0.0010051466675734266 -1 1 -1
2.9 0.002313060765624999 0.9993917747990546 0.0011558269865534542 -1 1 -1
2.9 0.0026600198804687487 0.9993006228643857 0.0013290798144028908 -1 1 -1
2.9 0.003059022862539061 0.9991958245005493 0.0015282815157969456 -1 1 -1
2.9 0.0035178762919199197 0.9990753412214788 0.0017573118502315075 -1 1 -1
2.9 0.004045557735707907 0.9989368315101498 0.0020206284983895657 -1 1 -1
2.9 0.004652391396064093 0.9987776062088111 0.0023233524525550736 -1 1 -1
2.9 0.005350250105473706 0.9985945775380347 0.002671365800174031 -1 1 -1
2.9 0.006152787621294761 0.998384200852741 0.0030714236271913893 -1 1 -1
2.9 0.0070757057644889754 0.9981424080750512 0.003531281984903506 -1 1 -1
2.9 0.008137061629162322 0.9978645318430055 0.004059844100743171 -1 1 -1
2.9 0.009357620873536667 0.9975452191458731 0.004667327268462835 -1 1 -1
