#1=α 2=ρ 3=δq 4=qh0 5=δqh 6=ρh 7=ϕ 
2.5 0.13 1.7646692592992768 0.31569743553536933 0.5666784269801837 0.07366819550742389 -0.013756344990882852
2.5 0.14 1.8761383102900282 0.2785310378685545 0.5330097437461379 0.07462136412445931 -0.010267879339463937
2.5 0.15 2.023485545204775 0.23873525157455533 0.49419675982849726 0.07412951397427459 -0.00704132948430175
2.5 0.16 2.2394931461090093 0.1942843407091138 0.4465296094955426 0.07144473751928682 -0.004114215695016549
2.5 0.17 2.64275319991695 0.13904351463480927 0.37839326049493593 0.06432685428413912 -0.0015632642184305046

2.1 0.0 1.9808780969163138 0.2548499191667825 0.5048266228783724 0.0 -0.010247212258907401
2.1 0.001 1.994548264133077 0.251368275688559 0.5013666592994912 0.0005013666592994912 -0.00991747383190672
2.1 0.002 2.008594197156844 0.2478642291197109 0.49786064373555167 0.0009957212874711033 -0.0095903565801565
2.1 0.003 2.0230366077106243 0.24433664606848246 0.49430642836050953 0.0014829192850815286 -0.009265863017590442
2.1 0.004 2.0378988356272525 0.2407841020343911 0.4907014923987658 0.0019628059695950633 -0.00894405458949532
2.1 0.005 2.0532051516295993 0.23720533468627467 0.487043391258937 0.002435216956294685 -0.008624929793031727
2.1 0.006 2.0689824568845814 0.2335988759149501 0.48332937607686305 0.0028999762564611785 -0.008308536280729723
2.1 0.007 2.085260424027976 0.2299630803104294 0.4795564086275412 0.0033568948603927883 -0.007994900166653024
2.1 0.008 2.102071523812548 0.2262961817687281 0.4757212058066845 0.003805769646453476 -0.007684058901617774
2.1 0.009 2.119451473444429 0.22259626131251514 0.47182019146437393 0.004246381723179365 -0.007376048047017442
2.1 0.01 2.137438885959036 0.21886139148576744 0.4678496337692085 0.004678496337692085 -0.007070908410062637
2.1 0.011 2.1560780357623903 0.21508914658429662 0.46380510510900846 0.005101856156199093 -0.006768680602163485
2.1 0.012 2.17541669053739 0.21127715714162246 0.4596820482024395 0.0055161845784292745 -0.006469409251586317
2.1 0.013 2.1955091960965802 0.20742260153275968 0.45547520446642215 0.005921177658063488 -0.006173145430603599

4.0 0.0 0.5914935021582508 2.8582488925213894 1.6906356474774182 0.0 -0.49602535508487755
4.0 0.01 0.5971224476721985 2.80433422616395 1.674698387070132 0.01674698387070132 -0.48121266782685757
4.0 0.02 0.6027954022592712 2.7509733625634407 1.658937669816342 0.033178753396326845 -0.46663282815585727
4.0 0.03 0.608515487276221 2.6981474969833994 1.6433435482079588 0.04930030644623876 -0.45228342459181237
4.0 0.04 0.6142861347388817 2.645837372907907 1.6279058625099458 0.06511623450039783 -0.4381615099885321
4.0 0.05 0.6201109530980339 2.5940246545091172 1.6126146377580741 0.0806307318879037 -0.42426142326872307
4.0 0.06 0.6259938959925287 2.5426906250530337 1.597459665983604 0.09584757995901624 -0.4105889092125806
4.0 0.07 0.6319392996890139 2.491816156023563 1.5824304652236598 0.1107701325656562 -0.39713286978120965
